Cve_Metro,grupo,nav_count,nav_percentile,nav_robust_z,top1_count,top1_start,top1_end,n_windows,Nombre,Poblacion,tasa_anual_100k
26.2.02,,2,0.0,,10.0,2024-07-06,2024-07-13,29,Ciudad Obregón,451214,0.0
26.2.03,,2,0.0,-4.721435316336167,12.0,2024-05-18,2024-05-25,58,Hermosillo,1013689,0.0
26.2.04,,0,0.0,,9.0,2024-03-16,2024-03-23,20,Nogales,287440,0.0
26.3.05,,0,0.0,,8.0,2024-09-12,2024-09-19,1,Caborca,104307,0.0
27.1.01,,2,0.0,,10.0,2024-09-12,2024-09-19,51,Villahermosa,858154,0.0
28.1.01,,1,0.0,,9.0,2024-02-25,2024-03-03,44,Reynosa,909100,0.0
28.1.02,,0,0.0,,10.0,2024-09-15,2024-09-22,27,Tampico,956622,0.0
28.2.03,,1,0.0,,8.0,2024-04-21,2024-04-28,25,Ciudad Victoria,364633,0.0
28.2.04,,1,0.0,,10.0,2024-08-30,2024-09-06,11,Matamoros,576355,0.0
28.2.05,,0,0.0,,8.0,2024-05-24,2024-05-31,16,Nuevo Laredo,453961,0.0
29.1.01,,1,0.0,-10.117361392148927,9.0,2024-05-27,2024-06-03,32,Tlaxcala-Apizaco,716765,0.0
29.3.02,,0,,,,,,0,Huamantla,114456,
30.1.01,,0,0.0,,10.0,2024-09-08,2024-09-15,22,Coatzacoalcos,356443,0.0
30.1.02,,1,0.0,,8.0,2024-06-12,2024-06-19,9,Córdoba,345226,0.0
30.1.03,,0,0.0,,8.0,2024-05-25,2024-06-01,15,Minatitlán,317288,0.0
30.1.04,,0,,,,,,0,Orizaba,475674,
30.1.05,,0,0.0,,9.0,2024-07-08,2024-07-15,7,Poza Rica,335563,0.0
30.1.06,,1,0.0,-10.117361392148927,9.0,2024-07-15,2024-07-22,16,Veracruz,909740,0.0
30.1.07,,3,0.0,-4.046944556859572,10.0,2024-05-02,2024-05-09,36,Xalapa,823394,0.0
30.3.08,,0,0.0,-11.46634291110212,9.0,2024-11-01,2024-11-08,2,Acayucan,113883,0.0
31.1.01,,4,0.0,-4.046944556859572,14.0,2024-04-18,2024-04-25,140,Mérida,1447429,0.0
31.3.02,,2,0.0,,8.0,2024-06-22,2024-06-29,6,Valladolid,103100,0.0
32.1.01,,0,0.0,,8.0,2024-03-11,2024-03-18,17,Zacatecas-Guadalupe,436726,0.0
